time/time_elapsed,time/fps,time/episodes,rollout/ep_rew_mean,rollout/exploration_rate,time/total_timesteps,rollout/ep_len_mean,train/loss,env/wind_speed,env/energy,train/learning_rate,env/voltage,env/concentration,train/n_updates,env/aqi
7,2431,112,1.2999941990277313,0.01,17920,1.699,0.00545892957597971,,,0.0001,,,4229,
7,2408,116,1.421340511751327,0.01,18560,1.699,0.014921514317393303,2.1213999999999995,165.63527999999997,0.0001,2.1213999999999995,14.123167848168046,4389,55.135691877249265
8,2392,120,1.2919351923039377,0.01,19200,1.699,0.016404373571276665,2.1138999999999997,164.85731999999996,0.0001,2.1138999999999997,14.2547714036161,4549,55.43698468869456
8,2302,124,1.343663028968239,0.01,19840,1.699,0.013380293734371662,,,0.0001,,,4709,
9,2260,128,1.4061816734436048,0.01,20480,1.699,0.22246180474758148,2.0942,162.78911999999994,0.0001,2.0942,14.514296235066094,4869,55.984466769314544
9,2250,132,1.505344862079489,0.01,21120,1.699,0.025294270366430283,2.1180999999999996,166.82939999999996,0.0001,2.1180999999999996,14.46667703268002,5029,55.90016090360703
9,2255,136,1.3785094172543446,0.01,21760,1.699,0.195651575922966,,,0.0001,,,5189,
9,2262,140,1.3964279269764261,0.01,22400,1.699,0.05431530624628067,2.1754999999999995,174.65579999999997,0.0001,2.1754999999999995,13.851103896023515,5349,54.43328914270097
10,2260,144,1.467837627029395,0.01,23040,1.699,0.0625445693731308,2.1558,172.09007999999997,0.0001,2.1558,14.082268112134841,5509,55.0158130053911
10,2260,148,1.3414244650691953,0.01,23680,1.699,0.5938748717308044,,,0.0001,,,5669,
10,2252,152,1.5140974711521935,0.01,24320,1.699,0.02061358466744423,2.1580999999999992,173.07683999999998,0.0001,2.1580999999999992,14.104939754042418,5829,55.03390257515581
11,2239,156,1.3448307056431512,0.01,24960,1.699,0.011282899416983128,,,0.0001,,,5989,
11,2205,160,1.376440747705916,0.01,25600,1.699,0.010635281912982464,2.1668999999999996,174.07979999999998,0.0001,2.1668999999999996,14.007879258785511,6149,54.735007288931456
12,2116,164,1.4590687075260669,0.01,26240,1.699,0.013525893911719322,2.1462,171.66815999999997,0.0001,2.1462,14.319939240332555,6309,55.50127334767734
12,2108,168,1.4309640911994592,0.01,26880,1.699,0.01020954642444849,,,0.0001,,,6469,
13,1976,172,1.4912691019445754,0.01,27520,1.699,0.23924441635608673,2.1809,175.59611999999996,0.0001,2.1809,13.841366357864155,6629,54.49001180825627
14,1954,176,1.31741266664453,0.01,28160,1.699,0.02196146920323372,2.2005999999999997,181.47239999999996,0.0001,2.2005999999999997,14.087364979889735,6789,54.452337959289885
16,1794,180,1.4583856711840655,0.01,28800,1.699,0.05528891831636429,,,0.0001,,,6949,
17,1685,184,1.4427221240269312,0.01,29440,1.699,0.12972773611545563,2.2432999999999996,185.34995999999995,0.0001,2.2432999999999996,13.40016592365788,7109,53.250090300220734
17,1679,188,1.392391613669144,0.01,30080,1.699,0.35033488273620605,2.1860999999999993,177.10811999999999,0.0001,2.1860999999999993,13.842632575932585,7269,54.161167315384944
18,1681,192,1.3596351367863855,0.01,30720,1.699,0.009222832508385181,,,0.0001,,,7429,
18,1684,196,1.4183291334555088,0.01,31360,1.699,0.011872467584908009,2.2678999999999996,188.95283999999998,0.0001,2.2678999999999996,13.178749534714122,7589,52.59464982165877
18,1686,200,1.4458017407173958,0.01,32000,1.699,0.5438965559005737,2.2758,190.91016,0.0001,2.2758,13.189974180255188,7749,52.40951105464051
19,1690,204,1.5394835377727525,0.01,32640,1.699,0.26066696643829346,,,0.0001,,,7909,
