#{"t_start": 1748204247.303221, "env_id": "None"}
r,l,t
86.01723,160,9.023281
88.83483,160,9.048749
82.945258,160,9.066033
98.379528,160,9.084102
84.286396,160,9.10128
88.270223,160,9.117436
70.298051,160,9.133927
87.460232,160,9.150352
74.120892,160,9.166849
91.630823,160,9.184176
80.929733,160,9.201031
87.732488,160,9.217339
87.436413,160,9.233789
94.019747,160,9.258928
77.851502,160,9.275674
97.049046,160,9.293334
103.872041,160,9.313137
103.872041,160,9.325506
103.872041,160,9.338018
103.872041,160,9.350755
103.872041,160,9.363395
94.721498,160,9.38339
83.999616,160,9.401029
68.254673,160,9.418362
91.580372,160,9.435547
89.354972,160,9.452846
74.817796,160,9.470053
78.75961,160,9.487436
77.795251,160,9.505042
89.46162,160,9.521815
81.864643,160,9.538335
82.840319,160,9.564255
81.635114,160,9.581648
83.728865,160,9.599993
70.157835,160,9.617803
80.242309,160,9.634868
95.31305,160,9.6516
81.692395,160,9.668144
66.945453,160,9.684616
88.069547,160,9.701846
56.337508,160,9.718871
88.763622,160,9.735243
88.982033,160,9.752332
75.806534,160,9.76942
88.64238,160,9.793675
93.453792,160,9.812376
82.752945,160,9.829669
91.650735,160,9.846992
97.074389,160,9.864735
89.04811,160,9.882387
91.349711,160,9.900231
90.554516,160,9.919454
103.872041,160,9.938169
103.872041,160,9.951499
103.872041,160,9.965221
103.872041,160,9.978626
103.872041,160,9.992087
74.972053,160,10.014634
72.509342,160,10.032616
85.179697,160,10.050077
88.013215,160,10.067367
85.067699,160,10.093541
87.167572,160,10.110648
76.69826,160,10.131604
87.783065,160,10.148388
79.199852,160,10.164781
73.691599,160,10.181507
66.894477,160,10.198224
45.263924,160,10.214792
93.576721,160,10.232608
63.396031,160,10.249968
61.022848,160,10.266882
71.318378,160,10.284107
76.489565,160,10.301395
94.605515,160,10.327355
68.508785,160,10.34547
85.442698,160,10.362499
67.215358,160,10.379226
85.575007,160,10.395618
47.791339,160,10.412033
85.571731,160,10.4285
73.456137,160,10.446114
74.666676,160,10.46244
93.870107,160,10.479
92.732759,160,10.495603
88.838102,160,10.512325
18.13561,160,10.528432
53.421478,160,10.554507
103.872041,160,10.573945
103.872041,160,10.587112
103.872041,160,10.600747
103.872041,160,10.613324
103.872041,160,10.626168
88.429304,160,10.6459
77.201355,160,10.663595
80.043479,160,10.67991
94.011407,160,10.696248
82.253911,160,10.712539
86.880369,160,10.728994
81.723003,160,10.745484
84.714334,160,10.763246
89.913921,160,10.779699
87.099218,160,10.796374
79.215543,160,10.813575
80.081781,160,10.83102
88.850155,160,10.856113
71.733228,160,10.87396
83.251312,160,10.890556
80.718762,160,10.906526
81.850247,160,10.922887
45.622906,160,10.939363
89.389511,160,10.95579
94.950703,160,10.973534
88.165383,160,10.990101
97.421324,160,11.006694
64.448544,160,11.023671
94.806889,160,11.040268
81.942155,160,11.066639
78.759558,160,11.083635
68.299358,160,11.099711
57.447809,160,11.116078
75.950168,160,11.132887
79.815257,160,11.150634
91.948718,160,11.1703
103.872041,160,11.189253
103.872041,160,11.202815
103.872041,160,11.216014
103.872041,160,11.228767
103.872041,160,11.241518
82.398402,160,11.26159
92.95521,160,11.278745
65.535894,160,11.295378
95.837354,160,11.312238
71.265293,160,11.329602
83.755953,160,11.3462
67.004657,160,11.370942
64.624807,160,11.388622
84.585544,160,11.405375
81.122769,160,11.421344
83.203931,160,11.437639
55.121886,160,11.454117
83.039334,160,11.470406
54.419266,160,11.487899
76.269207,160,11.504404
60.902116,160,11.520849
58.220091,160,11.537325
87.437889,160,11.553806
87.723716,160,11.570143
82.651068,160,11.596849
98.78369,160,11.61439
75.553319,160,11.655855
77.669874,160,11.687202
85.517479,160,11.711797
94.619425,160,11.729476
93.529386,160,11.748348
83.419479,160,11.766722
91.90945,160,11.785528
90.917369,160,11.803447
94.719933,160,11.820306
91.77267,160,11.837248
103.872041,160,11.860507
103.872041,160,11.873837
103.872041,160,11.887227
103.872041,160,11.901663
103.872041,160,11.916048
74.355262,160,11.950806
90.678118,160,11.968305
75.554947,160,11.9858
82.041763,160,12.003416
77.362631,160,12.021059
77.886067,160,12.03802
77.875142,160,12.054571
90.388877,160,12.071522
58.880424,160,12.088547
94.28603,160,12.105338
72.268826,160,12.123023
90.982998,160,12.14036
96.171274,160,12.157938
82.507312,160,12.184848
91.884253,160,12.202196
79.823999,160,12.220502
90.550642,160,12.237815
91.756391,160,12.254316
91.793092,160,12.270785
78.731469,160,12.287769
90.955121,160,12.304497
96.882332,160,12.322743
91.265785,160,12.340517
79.625729,160,12.35743
89.712742,160,12.374279
84.890613,160,12.391496
65.557794,160,12.416698
85.787727,160,12.434083
95.158077,160,12.450702
90.047997,160,12.467063
70.969304,160,12.483484
103.872041,160,12.500874
103.872041,160,12.513442
103.872041,160,12.527206
103.872041,160,12.54171
103.872041,160,12.555798
96.42288,160,12.577022
91.775827,160,12.594014
95.000158,160,12.611436
44.989998,160,12.628475
98.093739,160,12.64658
82.055859,160,12.663892
80.397106,160,12.680977
89.238717,160,12.706816
77.379621,160,12.724111
91.133291,160,12.742736
61.433921,160,12.760202
81.70312,160,12.776722
86.212378,160,12.793368
92.37197,160,12.809424
80.285748,160,12.825854
88.487656,160,12.843183
87.586021,160,12.859886
96.46479,160,12.876677
89.504939,160,12.893918
78.233708,160,12.910257
84.628255,160,12.935667
61.418468,160,12.952845
74.403273,160,12.969248
61.923226,160,12.985777
52.309874,160,13.002779
90.740559,160,13.019499
78.27642,160,13.036633
46.467388,160,13.055569
63.795428,160,13.074922
81.166786,160,13.096853
86.153506,160,13.114429
103.872041,160,13.135549
103.872041,160,13.14895
103.872041,160,13.163622
103.872041,160,13.177148
103.872041,160,13.190032
95.28193,160,13.211045
66.024236,160,13.227793
