timestep,aqi,fan_speed
3670,1.0,0.6
3680,1.0,0.8
3690,1.0,0.8
3700,1.0,0.7
3710,1.0,0.5
3720,1.0,0.3
3730,1.0,2.7755576e-17
3740,1.0,0.2
3750,1.0,0.1
3760,1.0,0.3
3770,1.0,0.1
3780,1.0,0.2
3790,1.0,0.1
3800,1.0,0.2
3810,1.0,0.3
3820,1.0,0.6
3830,1.0,0.7
3840,1.0,0.7
3850,1.0,0.5
3860,1.0,0.4
3870,1.0,0.7
3880,1.0,0.6
3890,1.0,0.4
3900,1.0,0.3
3910,1.0,0.3
3920,1.0,0.7
3930,1.0,0.4
3940,1.0,0.6
3950,1.0,0.9
3960,1.0,0.8
3970,1.0,1.0
3980,1.0,1.0
3990,1.0,0.8
4000,1.0,0.9
4010,1.0,0.9
4020,1.0,1.0
4030,1.0,0.9
4040,1.0,1.0
4050,1.0,0.9
4060,1.0,0.9
4070,1.0,0.6
4080,1.0,0.4
4090,1.0,0.3
4100,1.0,0.3
4110,1.0,0.2
4120,1.0,1.3877788e-16
4130,1.0,1.3877788e-16
4140,1.0,0.1
4150,1.0,0.0
4160,1.0,0.0
4170,1.0,0.3
4180,1.0,0.1
4190,1.0,0.1
4200,1.0,0.1
4210,1.0,0.0
4220,1.0,0.1
4230,1.0,0.1
4240,1.0,0.2
4250,1.0,0.1
4260,1.0,0.0
4270,1.0,0.0
4280,1.0,0.0
4290,1.0,0.2
4300,1.0,0.4
4310,1.0,0.3
4320,1.0,0.2
4330,1.0,2.7755576e-17
4340,1.0,0.1
4350,1.0,0.2
4360,1.0,0.3
4370,1.0,0.6
4380,1.0,0.2
4390,1.0,0.0
4400,1.0,0.1
4410,1.0,0.0
4420,1.0,0.0
4430,1.0,0.1
4440,1.0,0.0
4450,1.0,0.0
4460,1.0,0.1
4470,1.0,0.3
4480,1.0,0.4
4490,1.0,0.6
4500,1.0,0.4
4510,1.0,0.4
4520,1.0,0.3
4530,1.0,0.2
4540,1.0,0.1
4550,1.0,0.0
4560,1.0,0.3
4570,1.0,0.3
4580,1.0,0.6
4590,1.0,0.5
4600,2.0,0.7
4610,3.0,0.7
4620,3.0,0.4
4630,3.0,0.1
4640,3.0,0.2
4650,3.0,0.0
4660,3.0,0.1
4670,3.0,0.1
4680,2.0,0.2
4690,3.0,0.2
4700,3.0,2.7755576e-17
4710,3.0,0.0
4720,3.0,0.0
4730,2.0,0.0
4740,2.0,0.0
4750,2.0,0.0
4760,2.0,0.0
4770,2.0,0.0
4780,2.0,0.1
4790,2.0,0.0
4800,2.0,0.1
4810,2.0,0.2
4820,3.0,0.1
4830,3.0,2.7755576e-17
4840,2.0,0.0
4850,2.0,0.0
4860,2.0,0.0
4870,2.0,0.0
4880,2.0,0.0
4890,3.0,0.0
4900,2.0,0.0
4910,2.0,0.0
4920,2.0,0.0
4930,2.0,0.1
4940,2.0,0.2
4950,2.0,0.0
4960,2.0,0.0
4970,2.0,0.1
4980,2.0,0.2
4990,2.0,0.0
5000,2.0,0.2
5010,2.0,0.3
5020,2.0,2.7755576e-17
5030,2.0,0.1
5040,2.0,2.7755576e-17
5050,2.0,0.0
5060,2.0,0.2
5070,2.0,0.1
5080,2.0,0.1
5090,2.0,0.0
5100,2.0,0.0
5110,2.0,0.1
5120,2.0,0.0
5130,2.0,0.0
5140,2.0,0.0
5150,2.0,0.0
5160,2.0,0.2
5170,2.0,0.2
5180,2.0,0.0
5190,2.0,0.0
5200,2.0,0.0
5210,2.0,0.0
5220,2.0,0.1
5230,2.0,0.0
5240,2.0,0.0
5250,2.0,0.1
5260,2.0,0.0
5270,2.0,0.1
5280,2.0,0.0
5290,2.0,0.0
5300,2.0,0.0
5310,2.0,0.0
5320,2.0,0.0
5330,2.0,0.0
5340,2.0,0.1
5350,2.0,0.0
5360,2.0,0.1
5370,2.0,0.0
5380,2.0,0.1
5390,2.0,0.1
5400,2.0,0.2
5410,2.0,0.0
5420,2.0,0.0
5430,2.0,0.0
5440,2.0,0.1
5450,2.0,0.1
5460,2.0,0.0
5470,2.0,0.0
5480,2.0,0.0
5490,2.0,0.1
5500,2.0,0.1
5510,2.0,0.0
5520,1.0,0.0
5530,1.0,0.0
5540,2.0,0.0
5550,1.0,0.1
5560,2.0,0.2
5570,2.0,0.1
5580,2.0,0.0
5590,2.0,0.0
5600,1.0,0.2
5610,1.0,0.1
5620,2.0,0.0
5630,2.0,0.0
5640,1.0,0.2
5650,2.0,0.2
5660,1.0,0.0
5670,2.0,0.0
5680,2.0,0.0
5690,1.0,0.2
5700,2.0,0.0
5710,1.0,0.1
5720,2.0,0.1
5730,1.0,0.1
5740,1.0,0.0
5750,2.0,0.1
5760,2.0,0.1
5770,2.0,0.1
5780,1.0,0.2
5790,1.0,0.2
5800,1.0,0.0
5810,1.0,0.1
5820,1.0,0.2
5830,2.0,0.0
5840,1.0,0.1
5850,1.0,0.0
5860,1.0,0.1
5870,1.0,0.2
5880,2.0,0.1
5890,2.0,0.1
5900,2.0,0.1
5910,1.0,0.0
5920,1.0,0.1
5930,2.0,0.0
5940,2.0,0.0
5950,1.0,0.0
5960,1.0,0.0
5970,1.0,0.0
5980,1.0,0.1
5990,2.0,0.2
6000,1.0,0.2
6010,1.0,0.2
6020,1.0,0.0
6030,1.0,0.0
6040,1.0,0.1
6050,1.0,0.0
6060,1.0,0.0
6070,1.0,0.1
6080,1.0,0.2
6090,1.0,0.2
6100,1.0,0.2
6110,2.0,0.2
6120,2.0,0.0
6130,1.0,0.3
6140,1.0,0.4
6150,1.0,0.3
6160,1.0,0.2
6170,1.0,0.2
6180,1.0,0.3
6190,1.0,0.1
6200,1.0,0.2
6210,3.0,2.7755576e-17
6220,5.0,0.0
6230,5.0,0.0
6240,5.0,0.1
6250,4.0,0.0
6260,4.0,0.0
6270,4.0,0.0
6280,4.0,0.0
6290,4.0,0.0
6300,4.0,0.1
6310,3.0,0.0
6320,3.0,0.0
