timestep,aqi,voltage,energy,wind_speed,concentration
82100,51.4738252753251,2.3529999999999998,200.5668,2.3529999999999998,12.476989271825792
82200,50.32477099693606,2.414,210.6036,2.414,12.127893157291401
82300,49.6796101094031,2.4443333333333332,216.05639999999997,2.4443333333333332,11.9850395616834
82400,50.01246309578866,2.4240000000000004,212.85,2.4240000000000004,12.115108137289146
82500,50.09665066259338,2.4212,212.15807999999998,2.4212,12.113489310460453
82600,50.13001694887913,2.4183333333333334,211.70159999999998,2.4183333333333334,12.13099131271348
82700,50.21473903602841,2.414,210.82731428571427,2.414,12.143473007795365
82800,50.28835688565853,2.411875,210.41145,2.411875,12.15089480652784
82900,50.577169128001486,2.393555555555556,207.70240000000004,2.393555555555556,12.284663469980455
83000,50.51712162826166,2.3987,208.47636,2.3987,12.249140473690913
83100,51.58654499819393,2.316,194.99039999999985,2.316,12.710344337011652
83200,52.43752370025365,2.2784999999999997,188.89019999999994,2.2784999999999997,12.949275290688492
83300,52.3293275349694,2.2883333333333336,189.8748,2.2883333333333336,12.8425875425171
83400,52.27243557070953,2.28875,190.3635,2.28875,12.87515800879821
83500,52.08815689805211,2.3062,192.95063999999996,2.3062,12.753511237377106
83600,52.0204450096132,2.3091666666666666,193.4586,2.3091666666666666,12.73793111145383
83700,51.54510170061197,2.334142857142857,197.89559999999997,2.334142857142857,12.615294730421024
83800,51.818666733260024,2.31475,194.61599999999999,2.31475,12.716938109489922
83900,51.79851966389272,2.316555555555555,194.926,2.316555555555555,12.708809431980645
84000,51.90066740501109,2.3133000000000004,194.44068,2.3133000000000004,12.73447120684234
84100,48.84513513273858,2.4890000000000003,223.0668,2.4890000000000003,11.708424234138866
84200,50.21985536742754,2.4189999999999996,211.6836,2.4189999999999996,12.123615106318784
84300,50.60801807519638,2.4036666666666666,208.71959999999996,2.4036666666666666,12.176663154784656
84400,50.88324571379446,2.3877499999999996,206.31509999999997,2.3877499999999996,12.28752371713851
84500,50.989504338379525,2.3781999999999996,205.13304000000005,2.3781999999999996,12.37748091131905
84600,51.10323340858996,2.3713333333333333,203.73839999999998,2.3713333333333333,12.394007169130607
